TM,PCO2,pH,SO,CL,BSW,MMCFD,HCO3,BOPD,BWPD,FE,PS,CA,Defect_Depth,Pipe_type
47.452,0.285,7.055,25.774,3761.705,0.405,7.759,1979.292,1280.536,7258.21,0.784,600.021,0.304,0.168,Pipe_3
57.332,0.501,6.737,41.268,3904.271,0.84,17.492,1615.829,548.212,7973.682,0.088,1394.918,2.407,0.472,Pipe_3
47.483,0.244,7.656,27.117,3238.331,0.536,14.614,1719.757,375.81,8749.541,1.347,602.163,0.34,0.174,Pipe_3
32.823,0.044,8.046,13.726,2029.102,0.046,14.838,3697.269,1252.12,4527.374,2.713,317.382,0.036,0.099,Pipe_2
71.651,0.479,6.711,62.692,5799.485,0.77,9.263,248.529,978.834,861.215,0.179,1524.031,2.007,1.391,Pipe_1
26.914,0.084,8.421,4.142,1857.707,0.098,5.373,3912.211,551.719,7616.209,2.148,165.55,0.146,0.105,Pipe_3
46.678,0.319,7.024,33.055,3485.765,0.471,6.025,2815.868,325.018,8522.632,1.398,654.46,0.588,0.236,Pipe_3
36.177,0.058,8.444,4.9,1855.107,0.478,11.991,3569.376,679.748,5494.912,2.61,487.504,0.107,0.059,Pipe_3
33.096,0.012,8.034,4.124,1692.959,0.24,13.709,3821.332,1009.088,5452.197,2.322,88.583,0.034,0.069,Pipe_1
62.232,0.567,6.972,63.541,5059.892,0.882,5.144,1682.765,496.186,1051.402,0.481,1082.591,2.441,0.585,Pipe_3
48.188,0.225,7.777,30.707,3313.961,0.437,5.252,2109.662,1419.771,6417.662,1.273,717.827,0.965,0.23,Pipe_3
22.192,0.073,8.469,13.017,1210.179,0.246,16.966,4048.035,429.502,1261.026,2.369,390.237,0.054,0.057,Pipe_2
21.436,0.092,8.517,7.636,1296.584,0.184,7.258,3668.544,1481.091,6067.656,2.475,302.964,0.138,0.107,Pipe_2
36.433,0.014,8.494,11.905,2135.733,0.077,13.925,3775.889,825.975,6046.323,2.427,483.917,0.063,0.075,Pipe_2
48.987,0.403,7.762,22.668,3471.554,0.584,12.872,2895.136,1261.082,6060.494,1.467,727.235,0.578,0.145,Pipe_3
30.605,0.017,8.063,14.906,1590.542,0.127,7.419,3757.98,1199.556,3671.152,2.574,379.852,0.068,0.108,Pipe_2
68.137,0.552,6.583,54.422,4644.608,0.868,12.676,773.442,516.192,1478.488,0.674,1715.258,2.482,1.225,Pipe_2
62.783,0.554,6.269,59.465,6760.973,0.839,13.233,1303.903,291.335,2431.603,0.29,1714.632,2.127,0.603,Pipe_1
28.689,0.018,8.335,2.308,1246.459,0.206,14.024,3786.264,637.294,5608.233,2.423,439.543,0.096,0.107,Pipe_1
66.173,0.531,6.714,53.402,7037.486,0.891,3.329,1272.361,898.869,9052.574,0.217,1657.272,2.453,1.036,Pipe_1
46.029,0.178,7.429,26.099,3178.074,0.563,1.058,2046.467,1441.878,5552.894,1.044,638.017,0.408,0.215,Pipe_2
56.808,0.468,6.296,41.328,5549.422,0.861,3.78,1394.647,1488.395,1607.24,0.646,1364.838,2.182,1.537,Pipe_1
56.425,0.606,6.642,60.731,7475.291,0.706,13.194,371.726,256.951,2756.906,0.677,1648.207,2.443,0.621,Pipe_1
62.304,0.513,6.303,59.057,5728.788,0.814,2.477,1516.2,746.881,6824.815,0.239,1288.687,2.211,1.13,Pipe_2
31.641,0.054,8.071,13.16,205.362,0.382,10.569,3806.114,1486.501,205.885,2.315,341.92,0.133,0.114,Pipe_2
61.607,0.475,6.65,57.218,6481.39,0.832,2.449,1404.218,1471.277,1756.956,0.267,1364.125,2.377,0.378,Pipe_3
57.778,0.534,6.44,58.037,7521.96,0.712,7.984,1151.571,379.724,4821.031,0.413,1626.581,2.04,0.742,Pipe_3
44.876,0.38,7.653,19.177,3189.011,0.462,11.524,1985.343,471.248,8881.294,1.018,718.434,0.897,0.212,Pipe_2
63.855,0.527,6.643,50.06,4991.703,0.712,0.552,384.558,704.164,3087.07,0.272,1076.908,2.357,0.544,Pipe_2
28.657,0.028,8.561,8.216,2260.268,0.12,10.995,4199.862,611.723,6199.235,1.99,379.817,0.054,0.119,Pipe_1
60.089,0.569,6.293,63.603,7524.477,0.829,0.956,453.103,1387.812,7972.743,0.604,1920.376,2.048,0.577,Pipe_1
26.541,0.036,8.133,12.536,399.265,0.096,11.588,3576.756,812.297,4650.825,2.616,129.787,0.035,0.104,Pipe_1
49.0,0.407,7.145,37.787,3839.488,0.411,0.609,1735.683,1173.228,2271.245,0.894,651.328,0.578,0.172,Pipe_2
22.763,0.034,8.009,6.539,308.295,0.481,7.994,4095.219,1526.752,5438.228,2.488,254.323,0.021,0.08,Pipe_3
41.509,0.361,7.49,31.904,3231.238,0.593,15.483,2687.069,645.499,2599.712,1.345,665.152,0.931,0.171,Pipe_1
28.673,0.012,8.144,7.703,2064.168,0.091,8.124,3937.675,1187.003,9055.19,1.996,186.069,0.065,0.068,Pipe_2
58.219,0.549,6.929,46.083,6503.859,0.787,14.675,1539.222,1418.202,2844.568,0.308,1456.113,2.5,1.055,Pipe_3
61.614,0.562,6.919,44.089,5156.278,0.773,4.537,1426.781,1259.409,8200.431,0.537,1301.396,2.127,1.437,Pipe_1
22.287,0.012,8.164,14.563,2108.677,0.406,9.804,4144.184,1402.47,9245.049,2.069,153.83,0.08,0.059,Pipe_1
